timestamp,home_team_name,away_team_name,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,home_team_result
1149868800,Germany,Costa Rica,1.0,0.0,0.0,2.29,0.0,4,2,6,3,2,1,"6,17,61,87","12,73",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1149879600,Poland,Ecuador,1.0,0.0,0.0,1.0,1.5,0,2,2,1,0,1,,"24,80",-1,-1,1,0,2,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
1149944400,England,Paraguay,1.0,0.0,0.0,2.2,1.0,1,0,1,1,1,0,3,,-1,-1,2,0,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1149955200,Trinidad and Tobago,Sweden,1.0,0.0,0.0,0.33,1.25,0,0,0,0,0,0,,,-1,-1,2,1,1,0,1,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1149966000,Argentina,Ivory Coast,1.0,0.0,0.0,2.2,1.0,2,1,3,2,2,0,"24,38",82,-1,-1,3,0,2,0,1,2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150030800,Serbia and Montenegro,Netherlands,1.0,0.0,0.0,0.0,1.75,0,1,1,1,0,1,,18,-1,-1,4,0,2,0,1,3,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
1150041600,Mexico,Iran,1.0,0.0,0.0,1.0,0.33,3,1,4,2,1,1,"28,76,79",36,-1,-1,2,0,1,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150052400,Angola,Portugal,1.0,0.0,0.0,0.67,1.86,0,1,1,1,0,1,,4,-1,-1,3,0,2,0,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
1150117200,Australia,Japan,1.0,0.0,0.0,1.0,0.33,3,1,4,1,0,1,"84,89,90",26,-1,-1,4,0,3,0,1,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150128000,USMNT,Czech Republic,1.0,0.0,0.0,0.33,1.0,0,3,3,2,0,2,,"5,36,76",-1,-1,2,0,4,0,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
1150138800,Italy,Ghana,1.0,0.0,0.0,2.43,1.5,2,0,2,1,1,0,"40,83",,-1,-1,3,0,2,0,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150203600,South Korea,Togo,1.0,0.0,0.0,1.33,0.0,2,1,3,1,0,1,"54,72",31,-1,-1,2,0,3,1,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150214400,France,Switzerland,1.0,0.0,0.0,2.14,2.0,0,0,0,0,0,0,,,-1,-1,3,0,5,0,0,3,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1150225200,Brazil,Croatia,1.0,0.0,0.0,2.4,0.67,1,0,1,1,1,0,44,,-1,-1,1,0,3,0,1,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150290000,Spain,Ukraine,1.0,0.0,0.0,2.25,1.4,4,0,4,2,2,0,"13,17,48,81",,-1,-1,0,0,2,1,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150300800,Tunisia,Saudi Arabia,1.0,0.0,0.0,0.33,0.33,2,2,4,1,1,0,"23,90","57,84",-1,-1,4,0,0,0,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1150311600,Germany,Poland,2.0,3.0,0.0,2.29,1.0,1,0,1,0,0,0,90,,-1,-1,3,0,3,1,0,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150376400,Ecuador,Costa Rica,2.0,3.0,0.0,1.5,0.0,3,0,3,1,1,0,"8,54,90",,-1,-1,3,0,2,0,1,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150387200,England,Trinidad and Tobago,2.0,3.0,1.0,2.2,0.33,2,0,2,0,0,0,"83,90",,-1,-1,1,0,5,0,0,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150398000,Sweden,Paraguay,2.0,1.0,0.0,1.25,1.0,1,0,1,0,0,0,89,,-1,-1,3,0,5,0,1,2,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150462800,Argentina,Serbia and Montenegro,2.0,3.0,0.0,2.2,0.0,6,0,6,3,3,0,"6,31,41,78,84,88",,-1,-1,1,0,3,1,1,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
1150473600,Netherlands,Ivory Coast,2.0,3.0,0.0,1.75,1.0,2,1,3,3,2,1,"23,26",38,-1,-1,4,0,3,0,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
