home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,winner
22,23,5,0,5,2,2,0,6,2,1,0,1,0,0,1,0,1,11,4,8,0,3,4,22,10,38,62,0.0,0.0,0.0,1.5,4.3,8.25,1.44,2.35,4.55,10.0,2.55,1.44,22.0
8,31,0,1,1,0,0,0,0,5,2,0,0,0,0,2,0,0,7,12,4,6,3,6,12,6,41,59,0.0,0.0,0.0,8.5,4.1,1.53,1.37,2.15,3.95,7.5,2.2,1.59,31.0
16,13,0,1,1,0,0,0,5,2,1,0,3,0,1,0,1,2,10,9,4,3,6,6,22,14,67,33,0.0,0.0,0.0,2.35,3.0,3.75,1.62,2.95,6.15,15.0,2.25,1.56,13.0
21,27,3,3,6,3,2,1,4,5,1,0,1,0,1,0,1,0,7,12,4,7,3,5,12,10,33,67,0.0,0.0,0.0,4.15,3.3,2.1,1.44,2.35,4.55,9.0,2.05,1.67,21.0
10,1,2,1,3,0,0,0,5,1,1,0,3,0,0,1,1,2,11,5,6,2,5,3,16,19,55,45,0.0,0.0,0.0,1.26,7.0,10.25,1.2,1.65,2.6,4.33,2.3,1.54,10.0
0,12,1,1,2,2,1,1,10,2,0,0,0,0,0,0,0,0,18,8,8,3,10,5,10,15,77,23,0.0,0.0,0.0,1.33,5.3,11.0,1.27,1.87,3.2,5.5,2.25,1.56,12.0
19,7,0,1,1,0,0,0,3,7,1,0,2,0,1,0,0,2,16,9,7,4,9,5,10,18,53,47,0.0,0.0,0.0,3.15,3.2,2.5,1.47,2.4,4.7,12.0,2.05,1.69,7.0
6,17,2,0,2,1,1,0,6,5,2,0,1,0,1,1,0,1,10,10,3,3,7,7,20,16,54,46,0.0,0.0,0.0,1.8,3.75,5.3,1.41,2.25,4.25,7.5,2.1,1.65,6.0
5,25,0,1,1,0,0,0,5,4,2,0,2,0,1,1,0,2,7,10,4,4,3,6,18,15,52,48,0.0,0.0,0.0,4.75,3.25,2.0,1.56,2.7,5.5,11.0,2.25,1.57,25.0
11,15,0,1,1,1,0,1,8,1,2,0,2,0,0,2,1,1,18,12,10,5,8,7,10,16,66,34,0.0,0.0,0.0,1.5,4.75,7.25,1.23,1.74,2.85,41.0,1.91,1.8,15.0
3,29,1,1,2,1,1,0,7,2,1,0,3,0,0,1,1,2,16,7,6,3,10,4,11,19,54,46,0.0,0.0,0.0,1.47,4.65,9.0,1.31,1.95,3.5,7.0,2.1,1.67,29.0
28,26,1,0,1,0,0,0,6,5,1,0,2,0,0,1,1,1,10,3,5,0,5,3,20,23,55,45,0.0,0.0,0.0,2.35,3.05,3.75,1.59,2.8,5.75,11.0,2.25,1.57,28.0
2,18,3,0,3,0,0,0,9,3,3,0,5,0,1,2,2,3,14,7,7,3,7,4,17,18,61,39,0.0,0.0,0.0,1.2,6.8,20.25,1.2,1.65,2.6,34.0,2.45,1.48,2.0
30,9,1,2,3,2,1,1,2,7,0,0,1,0,0,0,1,0,5,17,2,9,3,8,14,8,39,61,0.0,0.0,0.0,8.75,4.35,1.48,1.36,2.1,3.9,8.0,2.35,1.51,9.0
4,14,1,2,3,2,1,1,3,6,2,1,1,0,1,2,0,1,5,12,4,7,1,5,15,9,38,62,0.0,0.0,0.0,1.87,3.35,5.25,1.47,2.4,4.7,9.0,2.2,1.59,14.0
20,24,1,2,3,1,0,1,3,3,1,0,2,0,1,0,0,2,11,7,5,3,6,4,8,15,61,39,0.0,0.0,0.0,2.4,3.1,3.5,1.5,2.5,5.0,21.0,2.1,1.65,24.0
22,8,3,1,4,0,0,0,7,4,1,0,1,0,0,1,0,1,10,10,4,2,6,8,11,10,49,51,3.0,6.0,3.0,2.05,3.2,4.1,1.49,2.5,4.9,9.0,2.1,1.65,22.0
21,16,1,0,1,1,1,0,5,7,1,0,1,0,0,1,1,0,7,14,3,5,4,9,19,23,45,55,3.5,9.0,2.0,1.67,3.8,6.5,1.36,2.1,3.85,7.0,2.05,1.67,21.0
31,23,1,0,1,1,1,0,3,4,0,0,0,0,0,0,0,0,10,7,4,3,6,4,10,13,47,53,3.0,7.0,1.0,1.23,6.2,18.5,1.22,1.71,2.8,9.5,2.35,1.51,31.0
13,27,0,1,1,0,0,0,2,6,2,0,0,0,0,2,0,0,8,11,0,6,8,5,14,14,22,78,3.5,7.0,4.0,15.5,5.95,1.25,1.27,1.83,3.15,5.5,2.45,1.48,27.0
7,1,1,1,2,2,1,1,3,5,2,0,0,0,1,1,0,0,11,9,6,5,5,4,7,5,47,53,2.0,8.0,5.0,2.05,3.3,4.2,1.48,2.45,4.8,10.0,2.15,1.62,1.0
10,19,1,0,1,1,1,0,5,3,2,0,2,0,1,1,1,1,11,9,5,3,6,6,11,15,43,57,2.0,8.0,2.0,1.59,3.9,7.0,1.39,2.2,4.15,10.0,2.2,1.59,10.0
0,6,0,3,3,0,0,0,5,2,3,0,4,0,0,3,1,3,7,12,4,6,3,6,16,22,57,43,2.0,16.0,2.0,2.15,3.25,3.9,1.41,2.25,4.25,8.0,2.0,1.71,6.0
3,5,2,0,2,0,0,0,9,1,2,0,1,0,0,2,0,1,21,4,11,0,10,4,11,11,71,29,1.5,12.0,3.0,1.2,6.1,19.75,1.27,1.87,3.2,6.0,2.7,1.41,3.0
17,12,2,0,2,0,0,0,6,5,1,0,0,0,1,0,0,0,11,9,5,4,6,5,9,10,61,39,2.0,7.0,1.0,3.0,3.1,2.8,1.53,2.6,5.2,29.0,2.05,1.67,17.0
