home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,winner_encoded,home_team_result
26,16,1,1,4,5,2,0,2,0,10,13,6,6,4,7,17,13,42,58,26,1.0
31,8,0,0,0,4,3,1,3,0,7,13,4,4,3,9,13,20,49,51,31,1.0
27,11,2,0,6,11,0,0,1,0,12,8,8,3,4,5,14,12,51,49,27,1.0
1,19,1,0,10,4,1,0,1,0,16,10,8,2,8,8,7,8,59,41,1,1.0
7,30,1,1,7,4,3,0,3,0,16,12,9,5,7,7,12,12,57,43,30,0.0
0,25,0,1,4,3,2,1,2,0,11,7,3,5,8,2,16,10,52,48,25,0.0
23,10,0,1,4,4,3,1,2,0,11,13,3,4,8,9,10,15,51,49,10,0.0
9,2,4,0,4,7,2,0,3,1,17,9,11,3,6,6,10,18,59,41,9,1.0
17,6,2,0,6,2,2,0,1,0,15,8,8,4,7,4,13,20,56,44,17,1.0
15,4,1,0,0,3,1,0,1,0,5,8,5,4,0,4,20,29,45,55,15,1.0
13,21,1,1,8,4,1,0,1,0,8,8,6,2,2,6,15,15,54,46,13,1.0
18,24,1,1,3,10,2,0,1,0,8,12,3,4,5,8,17,15,55,45,18,1.0
14,22,0,0,6,4,2,0,1,0,6,8,2,3,4,5,18,13,50,50,14,1.0
3,20,2,1,7,3,1,0,0,0,23,11,11,4,12,7,9,10,65,35,3,1.0
12,5,0,1,4,6,1,0,2,0,6,18,3,6,3,12,15,21,45,55,5,0.0
28,29,0,1,12,3,0,0,4,0,21,8,8,5,13,3,8,21,68,32,29,0.0
26,31,0,3,3,4,2,1,0,0,9,19,4,7,5,12,13,10,53,47,31,0.0
1,27,4,1,6,2,3,0,2,0,22,12,12,3,10,9,19,19,58,42,1,1.0
11,19,2,1,11,3,3,0,1,1,23,9,12,5,11,4,13,15,56,44,11,1.0
8,16,0,2,7,1,2,0,4,0,11,13,5,6,6,7,22,25,53,47,16,0.0
9,23,0,1,7,1,4,1,4,0,12,11,5,4,7,7,19,10,54,46,23,0.0
25,30,2,2,2,4,4,0,1,0,7,13,5,7,2,6,15,18,52,48,25,1.0
7,0,0,0,10,3,1,0,1,0,12,7,6,2,6,5,14,13,51,49,7,1.0
17,15,1,0,4,5,1,0,0,0,8,11,6,4,2,7,18,11,62,38,17,1.0
10,2,1,1,6,1,3,0,1,1,17,9,7,6,10,3,22,18,49,51,2,0.0
4,6,1,2,7,2,2,0,2,0,17,10,9,7,8,3,9,12,62,38,6,0.0
24,21,0,2,3,1,3,0,1,0,5,12,2,6,3,6,15,17,53,47,21,0.0
13,18,1,1,15,0,0,0,3,0,16,4,7,2,9,2,11,25,62,38,18,0.0
3,14,3,1,4,3,1,1,3,0,11,8,7,5,4,3,17,23,59,41,3,1.0
22,20,7,0,5,1,2,0,2,0,23,12,14,4,9,8,16,6,53,47,22,1.0
5,29,1,0,5,3,6,0,3,1,16,7,7,0,9,7,21,25,60,40,5,1.0
28,12,2,0,12,2,0,0,2,0,15,5,8,0,7,5,9,18,65,35,28,1.0
16,31,0,1,6,7,2,0,1,0,8,13,3,6,5,7,20,13,63,37,31,0.0
8,26,1,2,3,5,1,1,0,0,11,17,6,10,5,7,9,12,50,50,26,0.0
11,1,0,2,1,10,1,0,1,0,6,16,4,12,2,4,15,8,33,67,1,0.0
19,27,2,2,1,7,3,0,1,0,13,16,5,9,8,7,20,11,46,54,19,1.0
30,0,1,0,4,6,2,0,3,1,21,16,11,5,10,11,11,21,53,47,30,1.0
25,7,0,1,2,11,3,0,1,0,12,14,7,9,5,5,19,20,46,54,7,0.0
2,23,2,1,5,6,3,0,2,0,11,17,7,7,4,10,24,10,43,57,2,1.0
10,9,0,1,4,7,1,0,1,0,16,13,6,7,10,6,11,5,45,55,9,0.0
21,18,0,0,2,0,2,0,1,0,14,4,6,0,8,4,12,18,61,39,21,1.0
24,13,3,2,6,3,4,0,4,0,11,16,5,7,6,9,20,17,46,54,24,1.0
6,15,1,3,7,2,3,0,2,0,14,15,7,10,7,5,22,10,55,45,15,0.0
4,17,1,2,6,1,2,0,3,0,12,15,4,9,8,6,18,15,51,49,17,0.0
20,14,0,3,0,7,0,0,0,0,7,26,5,16,2,10,13,16,37,63,14,0.0
22,3,0,0,4,7,4,0,3,0,13,17,4,6,9,11,11,18,36,64,22,1.0
29,12,0,0,2,0,1,0,4,0,5,0,2,0,3,0,9,8,53,47,12,0.0
5,28,1,2,3,4,3,1,0,0,9,9,5,4,4,5,21,13,38,62,28,0.0
31,27,2,1,3,3,0,0,3,0,13,14,9,6,4,8,12,12,42,58,31,1.0
30,10,1,2,5,4,3,0,2,0,17,14,7,7,10,7,11,18,47,53,10,0.0
9,7,4,1,4,6,1,0,1,0,15,17,8,10,7,7,7,6,50,50,9,1.0
1,16,3,1,2,5,0,0,1,0,10,17,7,7,3,10,11,26,49,51,1,1.0
17,24,2,1,5,2,2,0,3,0,15,10,10,4,5,6,17,19,57,43,17,1.0
3,5,3,0,8,6,2,0,3,0,18,11,7,4,11,7,14,18,49,51,3,1.0
21,15,0,0,6,5,1,0,4,0,10,11,6,6,4,5,26,29,60,40,21,1.0
28,22,1,0,6,3,1,0,1,1,19,10,11,4,8,6,13,18,65,35,28,1.0
17,3,2,1,4,8,4,0,1,1,7,10,6,4,1,6,19,20,55,45,17,1.0
31,10,1,1,12,8,3,1,3,0,16,19,9,8,7,11,23,23,50,50,31,1.0
1,9,0,4,5,4,2,0,1,0,20,18,8,7,12,11,20,14,59,41,9,0.0
21,28,0,1,1,7,4,0,2,0,10,14,5,6,5,8,24,11,42,58,28,0.0
31,17,2,3,4,5,2,0,3,0,13,12,7,8,6,4,15,16,45,55,17,0.0
9,28,0,1,6,7,0,0,0,0,4,12,3,5,1,7,9,7,49,51,28,0.0
31,9,2,3,6,12,1,0,3,0,14,17,8,8,6,9,13,11,44,56,9,0.0
17,28,0,1,6,8,8,1,5,0,13,19,6,7,7,12,28,19,42,58,28,0.0
5,10,3,1,7,3,2,0,2,0,13,10,5,4,8,6,5,19,63,37,5,1.0
22,6,1,0,2,5,1,0,1,0,7,12,3,4,4,8,10,10,55,45,22,1.0
28,23,1,5,4,1,1,0,3,0,8,6,5,6,3,0,6,18,61,39,23,0.0
7,2,3,1,3,1,1,0,3,0,7,12,5,3,2,9,10,18,59,41,7,1.0
8,16,3,0,4,4,1,0,2,0,9,13,5,8,4,5,20,13,44,56,8,1.0
31,9,1,3,5,6,3,1,0,0,7,10,3,2,4,8,21,17,57,43,9,0.0
12,19,1,2,9,2,1,0,0,0,19,10,7,4,12,6,8,11,49,51,19,0.0
20,21,2,1,8,5,2,0,2,0,19,7,8,5,11,2,12,10,56,44,20,1.0
29,11,2,1,8,5,1,0,1,0,13,10,6,5,7,5,9,14,52,48,29,1.0
13,17,3,0,8,0,3,0,3,1,13,4,5,2,8,2,13,13,70,30,13,1.0
1,4,2,1,2,6,1,0,1,0,11,13,5,8,6,5,10,13,57,43,1,1.0
14,25,4,0,4,6,0,0,1,1,10,11,4,5,6,6,8,10,55,45,14,1.0
18,24,0,0,2,7,1,0,0,0,7,12,3,7,4,5,18,17,25,75,18,1.0
15,30,1,2,7,3,2,0,0,0,21,8,9,6,12,2,10,11,64,36,30,0.0
3,0,2,1,7,2,1,0,1,0,14,3,7,0,7,3,18,17,66,34,3,1.0
5,22,0,0,4,3,2,0,2,0,12,13,7,3,5,10,14,17,50,50,5,1.0
26,27,1,1,4,4,1,0,3,0,13,9,6,6,7,3,15,7,54,46,27,0.0
2,23,2,3,3,2,1,0,1,0,6,8,3,7,3,1,17,21,50,50,23,0.0
28,7,0,2,7,1,1,0,2,0,18,6,9,3,9,3,14,13,63,37,7,0.0
6,10,0,4,4,7,0,1,1,0,12,17,2,9,10,8,11,8,43,57,10,0.0
8,20,2,1,5,5,0,0,2,0,8,13,5,6,3,7,12,13,40,60,8,1.0
31,12,2,1,7,6,1,0,1,0,10,13,6,8,4,5,17,13,36,64,31,1.0
21,16,0,0,5,7,1,0,3,1,13,11,6,7,7,4,24,17,69,31,21,1.0
19,9,0,1,4,5,1,0,1,0,9,11,4,6,5,5,10,23,58,42,9,0.0
29,13,2,5,5,3,0,0,1,0,15,15,4,7,11,8,11,15,59,41,13,0.0
17,11,1,2,4,12,2,0,3,0,9,8,4,3,5,5,12,11,38,62,11,0.0
1,18,1,0,10,6,0,0,2,0,18,8,6,4,12,4,7,14,75,25,1,1.0
14,15,2,2,7,3,0,0,1,0,10,14,3,6,7,8,11,17,60,40,14,1.0
24,4,1,0,4,4,1,0,1,0,18,16,11,7,7,9,9,7,42,58,24,1.0
3,26,1,0,5,8,2,0,1,0,7,10,4,4,3,6,13,7,53,47,3,1.0
27,0,2,4,7,5,2,0,1,0,9,12,4,3,5,9,13,16,53,47,0,0.0
30,25,2,2,6,4,1,0,0,0,12,17,7,6,5,11,10,13,48,52,30,1.0
2,28,0,3,2,6,2,0,1,0,5,7,0,5,5,2,14,9,51,49,28,0.0
23,7,2,0,2,7,1,0,1,0,9,11,4,3,5,8,25,14,38,62,23,1.0
6,5,1,4,6,7,3,0,0,0,9,13,0,9,9,4,14,18,48,52,5,0.0
10,22,1,3,7,9,1,1,2,0,9,10,4,3,5,7,17,11,53,47,22,0.0
9,12,0,0,3,7,1,0,2,0,4,9,3,4,1,5,17,14,44,56,9,1.0
19,31,0,1,3,3,2,1,2,0,8,12,4,5,4,7,19,19,54,46,31,0.0
21,8,1,4,9,2,1,0,1,0,20,16,9,10,11,6,8,18,58,42,8,0.0
16,20,2,1,4,7,0,0,3,0,11,9,3,4,8,5,9,21,50,50,16,1.0
24,1,2,3,4,12,2,0,0,0,7,16,3,11,4,5,16,6,46,54,1,0.0
4,18,3,1,6,5,1,0,1,0,8,5,4,3,4,2,18,16,59,41,4,1.0
17,29,0,3,8,1,1,0,0,0,18,13,9,9,9,4,18,16,64,36,29,0.0
11,13,0,0,1,7,1,1,0,0,8,17,4,10,4,7,15,6,33,67,11,1.0
25,15,2,1,7,4,1,0,3,0,17,15,8,4,9,11,20,15,56,44,25,1.0
30,14,0,1,2,3,2,0,1,0,5,10,2,6,3,4,15,10,37,63,14,0.0
0,26,1,1,3,4,3,0,2,0,9,10,7,5,2,5,16,13,43,57,0,1.0
27,3,0,1,7,4,1,0,1,1,16,13,7,8,9,5,16,11,54,46,3,0.0
5,7,1,1,9,5,4,0,3,0,20,10,8,4,12,6,28,21,54,46,7,0.0
8,31,2,0,3,5,1,0,2,0,9,16,6,8,3,8,18,17,51,49,8,1.0
23,22,2,1,10,2,0,0,3,0,12,12,5,6,7,6,6,11,58,42,23,1.0
9,16,1,1,3,11,5,1,2,0,6,22,2,9,4,13,22,16,47,53,9,1.0
13,24,2,0,12,9,1,0,0,0,12,5,6,3,6,2,12,12,52,48,13,1.0
14,0,2,1,10,4,1,0,1,0,24,11,15,4,9,7,12,22,60,40,14,1.0
1,29,1,0,13,5,3,0,2,0,21,12,10,5,11,7,20,28,60,40,1,1.0
3,30,2,1,19,4,1,0,1,0,33,13,19,6,14,7,26,11,49,51,3,1.0
13,14,0,1,5,3,0,0,2,0,13,6,8,4,5,2,15,18,50,50,14,0.0
5,8,2,1,4,6,2,0,2,0,12,9,5,4,7,5,27,22,45,55,5,1.0
1,3,1,0,3,4,1,0,2,0,5,11,2,3,3,8,11,13,47,53,1,1.0
23,9,0,0,11,1,2,0,4,0,12,5,9,2,3,3,15,14,72,28,23,1.0
5,14,1,7,7,5,1,0,0,0,14,7,9,4,5,3,11,11,56,44,14,0.0
23,1,0,0,4,4,2,0,1,0,7,8,3,5,4,3,16,9,52,48,23,1.0
5,23,0,3,4,1,3,0,2,0,10,6,3,3,7,3,14,20,56,44,23,0.0
14,1,1,0,5,3,2,0,2,0,8,9,6,0,2,9,21,15,60,40,14,1.0
22,23,5,0,6,2,1,0,1,0,11,4,8,0,3,4,22,10,38,62,22,1.0
8,31,0,1,0,5,2,0,0,0,7,12,4,6,3,6,12,6,41,59,31,0.0
16,13,0,1,5,2,1,0,3,0,10,9,4,3,6,6,22,14,67,33,13,0.0
21,27,3,3,4,5,1,0,1,0,7,12,4,7,3,5,12,10,33,67,21,1.0
10,1,2,1,5,1,1,0,3,0,11,5,6,2,5,3,16,19,55,45,10,1.0
0,12,1,1,10,2,0,0,0,0,18,8,8,3,10,5,10,15,77,23,12,0.0
19,7,0,1,3,7,1,0,2,0,16,9,7,4,9,5,10,18,53,47,7,0.0
6,17,2,0,6,5,2,0,1,0,10,10,3,3,7,7,20,16,54,46,6,1.0
5,25,0,1,5,4,2,0,2,0,7,10,4,4,3,6,18,15,52,48,25,0.0
11,15,0,1,8,1,2,0,2,0,18,12,10,5,8,7,10,16,66,34,15,0.0
3,29,1,1,7,2,1,0,3,0,16,7,6,3,10,4,11,19,54,46,29,0.0
28,26,1,0,6,5,1,0,2,0,10,3,5,0,5,3,20,23,55,45,28,1.0
2,18,3,0,9,3,3,0,5,0,14,7,7,3,7,4,17,18,61,39,2,1.0
30,9,1,2,2,7,0,0,1,0,5,17,2,9,3,8,14,8,39,61,9,0.0
4,14,1,2,3,6,2,1,1,0,5,12,4,7,1,5,15,9,38,62,14,0.0
20,24,1,2,3,3,1,0,2,0,11,7,5,3,6,4,8,15,61,39,24,0.0
22,8,3,1,7,4,1,0,1,0,10,10,4,2,6,8,11,10,49,51,22,1.0
21,16,1,0,5,7,1,0,1,0,7,14,3,5,4,9,19,23,45,55,21,1.0
31,23,1,0,3,4,0,0,0,0,10,7,4,3,6,4,10,13,47,53,31,1.0
13,27,0,1,2,6,2,0,0,0,8,11,0,6,8,5,14,14,22,78,27,0.0
7,1,1,1,3,5,2,0,0,0,11,9,6,5,5,4,7,5,47,53,1,0.0
10,19,1,0,5,3,2,0,2,0,11,9,5,3,6,6,11,15,43,57,10,1.0
0,6,0,3,5,2,3,0,4,0,7,12,4,6,3,6,16,22,57,43,6,0.0
3,5,2,0,9,1,2,0,1,0,21,4,11,0,10,4,11,11,71,29,3,1.0
17,12,2,0,6,5,1,0,0,0,11,9,5,4,6,5,9,10,61,39,17,1.0
25,29,1,2,3,7,4,0,1,0,12,13,4,6,8,7,17,13,37,63,29,0.0
2,30,5,2,5,2,0,0,1,0,21,14,13,6,8,8,12,13,49,51,2,1.0
26,15,1,2,7,5,4,0,0,0,9,13,7,6,2,7,24,7,41,59,15,0.0
11,28,2,1,8,3,1,1,2,0,12,7,7,6,5,1,12,13,75,25,11,1.0
9,18,6,1,3,2,1,0,3,0,10,8,8,3,2,5,13,13,59,41,9,1.0
14,24,2,2,2,5,2,0,3,0,6,13,4,8,2,5,8,15,56,44,14,1.0
20,4,0,3,7,5,2,0,0,0,5,10,3,5,2,5,15,10,45,55,4,0.0
31,22,3,0,4,2,1,0,2,1,13,3,7,2,6,1,17,18,57,43,31,1.0
23,8,2,1,7,2,0,0,2,0,19,7,9,2,10,5,7,16,64,36,23,1.0
13,21,1,1,1,5,2,0,4,0,7,12,3,5,4,7,16,11,26,74,13,1.0
27,16,2,2,7,1,0,0,6,0,18,6,6,4,12,2,5,17,74,26,16,0.0
7,10,0,0,4,2,1,0,0,0,4,11,3,4,1,7,10,10,32,68,7,1.0
1,19,0,2,8,3,4,0,2,0,10,5,3,4,7,1,14,12,57,43,19,0.0
17,0,1,2,3,5,2,0,3,0,9,7,4,5,5,2,20,15,33,67,0,0.0
12,6,1,2,10,5,3,0,2,0,15,11,7,3,8,8,10,11,38,62,6,0.0
26,11,2,0,3,9,4,0,0,0,11,20,6,7,5,13,16,7,26,74,26,1.0
15,28,0,3,7,3,3,0,2,0,12,15,4,6,8,9,14,11,66,34,28,0.0
25,3,0,2,5,9,3,0,0,0,8,10,3,7,5,3,13,7,42,58,3,0.0
29,5,2,2,6,5,3,0,3,0,10,13,4,7,6,6,9,14,62,38,29,1.0
14,20,0,1,5,7,1,0,0,0,8,8,4,3,4,5,11,8,54,46,20,0.0
24,4,0,1,1,3,1,0,1,0,8,4,4,3,4,1,15,15,40,60,4,0.0
9,2,0,1,7,2,0,0,2,0,9,8,3,5,6,3,11,14,46,54,2,0.0
18,30,1,2,0,6,3,0,3,0,9,12,5,7,4,5,18,19,30,70,30,0.0
